date,label,daily_pnl_usd,tp_hit,sl_hit,trades_count,anchor_price_10am,atr14_m5,atr_ratio_20d,morning_range_pts,morning_trend_pts,directional_intensity,range_to_atr_ratio,trend_to_atr_ratio,morning_vol_std,day_of_week
2020-01-02,trade,4.6,True,False,1,1520.555,0.46,1.0,3.953,1.787,0.452,8.585,3.881,0.132,3
2020-01-03,trade,17.87,True,False,1,1538.255,1.787,1.0,13.12,9.687,0.738,7.342,5.421,0.339,4
2020-01-06,trade,10.33,True,False,1,1577.475,1.033,1.0,25.89,17.74,0.685,25.066,17.176,0.306,0
2020-01-07,trade,0.0,False,False,0,1558.928,1.291,1.0,10.377,6.18,0.596,8.038,4.787,0.298,1
2020-01-08,skip,-52.21,False,False,2,1585.405,3.28,2.089,37.837,10.167,0.269,11.537,3.1,0.703,2
2020-01-09,trade,1.36,False,False,5,1560.495,0.759,0.529,7.55,3.967,0.525,9.946,5.226,0.2,3
2020-01-10,trade,-9.97,False,False,5,1548.795,0.537,0.411,6.54,3.403,0.52,12.182,6.339,0.139,4
2020-01-13,trade,6.8,True,False,1,1556.075,0.681,0.554,7.083,5.243,0.74,10.409,7.705,0.192,0
2020-01-14,trade,1.21,False,False,2,1540.015,0.667,0.572,12.9,7.833,0.607,19.336,11.741,0.292,1
2020-01-15,trade,8.98,True,False,1,1552.165,0.898,0.788,7.007,5.907,0.843,7.8,6.576,0.182,2
2020-01-16,trade,5.25,True,False,1,1555.868,0.525,0.485,3.197,0.43,0.135,6.084,0.818,0.119,3
2020-01-17,trade,5.96,True,False,1,1553.725,0.596,0.572,4.8,1.327,0.276,8.049,2.225,0.131,4
2020-01-20,trade,10.83,True,False,2,1557.825,0.361,0.364,2.747,0.697,0.254,7.611,1.931,0.1,0
2020-01-21,trade,10.25,True,False,1,1566.898,1.025,1.032,8.753,6.19,0.707,8.543,6.042,0.25,1
2020-01-22,trade,9.74,True,False,1,1551.155,0.974,0.982,8.708,7.483,0.859,8.941,7.683,0.2,2
2020-01-23,skip,-35.78,False,False,3,1555.958,0.932,0.944,7.917,2.54,0.321,8.493,2.725,0.232,3
2020-01-24,trade,9.26,True,False,2,1561.645,0.309,0.326,3.59,0.683,0.19,11.626,2.212,0.098,4
2020-01-27,skip,-30.89,False,False,5,1581.995,0.816,0.868,11.11,2.747,0.247,13.608,3.365,0.211,0
2020-01-28,trade,-9.19,False,False,4,1580.965,0.492,0.537,2.997,0.383,0.128,6.09,0.778,0.137,1
2020-01-29,trade,21.52,True,False,2,1565.095,0.717,0.791,6.53,1.663,0.255,9.105,2.319,0.169,2
2020-01-30,trade,20.77,True,False,2,1579.728,0.692,0.754,5.607,3.13,0.558,8.098,4.521,0.14,3
2020-01-31,trade,6.9,True,False,1,1572.235,0.69,0.799,5.053,1.543,0.305,7.325,2.237,0.209,4
2020-02-03,trade,10.51,False,False,3,1582.738,1.007,1.167,12.05,10.65,0.884,11.97,10.58,0.302,0
2020-02-04,trade,6.72,True,False,1,1576.408,0.672,0.808,5.777,0.69,0.119,8.594,1.026,0.193,1
2020-02-05,trade,-14.79,False,False,4,1555.085,0.748,1.061,4.473,2.577,0.576,5.979,3.445,0.202,2
