k_multiplier,target_tp_pct,mode,total_days,active_trades,fill_rate_pct,tp_hit_days,win_rate_pct,initial_balance,final_balance,net_profit_usd,return_pct,max_drawdown_usd,max_drawdown_pct,profit_factor
0.8,10.0,Single-Trade Baseline,774,774,100.0,582,75.2,10000.0,-20.2,-10020.2,-100.2,8032.24,437.65,0.55
0.8,10.0,Single-Trade + AI Moderate (0.50),774,509,65.8,408,80.2,10000.0,-4051774.22,-4061774.22,-40617.74,99992378.69,128.05,0.99
0.8,10.0,Single-Trade + AI Strict (0.38),774,66,8.5,50,75.8,10000.0,14321.26,4321.26,43.21,148699.53,76.0,1.02
1.0,10.0,Single-Trade Baseline,774,770,99.5,509,66.1,10000.0,-9.61,-10009.61,-100.1,5558.0,2380.37,0.67
1.0,10.0,Single-Trade + AI Moderate (0.50),774,505,65.2,361,71.5,10000.0,167900.72,157900.72,1579.01,128962776.26,130.95,1.0
1.0,10.0,Single-Trade + AI Strict (0.38),774,66,8.5,47,71.2,10000.0,33947.94,23947.94,239.48,121271.16,58.8,1.09
1.2,10.0,Single-Trade Baseline,774,759,98.1,434,57.2,10000.0,4.99,-9995.01,-99.95,6197.2,346.66,0.84
1.2,10.0,Single-Trade + AI Moderate (0.50),774,496,64.1,310,62.5,10000.0,1428838.13,1418838.13,14188.38,44039035.12,107.46,1.0
1.2,10.0,Single-Trade + AI Strict (0.38),774,66,8.5,41,62.1,10000.0,31303.78,21303.78,213.04,91222.69,47.33,1.09
1.5,10.0,Single-Trade Baseline,774,712,92.0,329,46.2,10000.0,102.08,-9897.92,-98.98,13263.79,3912.21,0.94
1.5,10.0,Single-Trade + AI Moderate (0.50),774,461,59.6,229,49.7,10000.0,736077.68,726077.68,7260.78,3282343.63,83.97,1.02
1.5,10.0,Single-Trade + AI Strict (0.38),774,60,7.8,28,46.7,10000.0,12822.45,2822.45,28.22,17471.32,46.71,1.04
1.8,10.0,Single-Trade Baseline,774,641,82.8,224,34.9,10000.0,48.69,-9951.31,-99.51,16885.51,716.76,0.95
1.8,10.0,Single-Trade + AI Moderate (0.50),774,407,52.6,153,37.6,10000.0,68462.97,58462.97,584.63,469921.96,68.3,1.01
1.8,10.0,Single-Trade + AI Strict (0.38),774,55,7.1,18,32.7,10000.0,8322.5,-1677.5,-16.77,8641.69,37.26,0.96
2.0,10.0,Single-Trade Baseline,774,590,76.2,174,29.5,10000.0,140.77,-9859.23,-98.59,10821.23,59.87,0.93
2.0,10.0,Single-Trade + AI Moderate (0.50),774,372,48.1,116,31.2,10000.0,54507.49,44507.49,445.07,116803.83,60.47,1.02
2.0,10.0,Single-Trade + AI Strict (0.38),774,50,6.5,13,26.0,10000.0,5959.19,-4040.81,-40.41,4838.55,32.51,0.81
2.5,10.0,Single-Trade Baseline,774,444,57.4,87,19.6,10000.0,552.67,-9447.33,-94.47,7303.11,46.09,0.89
2.5,10.0,Single-Trade + AI Moderate (0.50),774,267,34.5,62,23.2,10000.0,58494.45,48494.45,484.94,43914.76,46.37,1.09
2.5,10.0,Single-Trade + AI Strict (0.38),774,39,5.0,8,20.5,10000.0,10065.92,65.92,0.66,2976.81,24.01,1.01
